"" "gene.id" "p.value" "q.value" "log.fc"
"1" "YAL054C" 0 0 6.80817231387587
"2" "YBR067C" 0 0 6.37254216482223
"3" "YDR256C" 0 0 5.3000074777638
"4" "YDR384C" 0 0 4.49719332285476
"5" "YFL014W" 0 0 5.96345120452213
"6" "YFL030W" 0 0 4.87264903176059
"7" "YGL205W" 0 0 7.00807512435473
"8" "YIL136W" 0 0 4.98167453185064
"9" "YIL160C" 0 0 6.01669371639525
"10" "YJR095W" 0 0 9.43062396263158
"11" "YMR107W" 0 0 8.95978808948781
"12" "YOR374W" 0 0 6.18527912798587
"13" "YKR009C" 5.7574951906818e-319 2.89734872224774e-316 5.24829829205738
"14" "YDR345C" 8.18973095859367e-319 3.82694430196851e-316 -4.0103129390733
"15" "YHR096C" 4.11065562816641e-310 1.79279394129764e-307 6.56429232070131
"16" "YPL201C" 6.52524831312496e-300 2.66801090402897e-297 7.54256419302914
"17" "YDL085W" 3.61468295583493e-299 1.39101505276895e-296 5.58115514941735
"18" "YKL217W" 1.39626320641861e-286 5.07464105355031e-284 8.50014312582682
"19" "YML054C" 5.42430834654158e-268 1.86767501068816e-265 3.53625425838904
"20" "YPR001W" 1.38925635286007e-261 4.5442575302053e-259 4.45612512083137
"21" "YGR289C" 1.34846495323654e-255 4.20078939241592e-253 4.09365523158404
"22" "YPR160W" 8.0159490038988e-254 2.38365174470482e-251 4.46412820134727
"23" "YCL040W" 2.46744034363357e-251 7.0182585774134e-249 3.37119448298297
"24" "YGR243W" 3.20548919393507e-240 8.73762929446802e-238 5.05956773272912
"25" "YJR008W" 7.65843757009042e-234 2.00405994334126e-231 4.19441378927686
"26" "YFR053C" 2.02461543379217e-232 5.0942439107186e-230 5.38202937582353
"27" "YEL011W" 3.73823729987202e-231 9.05761052435658e-229 3.70088238080113
"28" "YEL040W" 2.28911560966949e-230 5.34835511373492e-228 -3.53555102754186
"29" "YLR174W" 7.70266396609582e-228 1.73761474711031e-225 5.36823186507079
"30" "YIL057C" 2.57000389068236e-224 5.60432181761467e-222 10.0726646981218
"31" "YGL156W" 2.41315604860255e-215 5.09253769998642e-213 3.91999088899086
"32" "YGR292W" 3.00447682947243e-215 6.14227731825271e-213 4.95421297145222
"33" "YGL121C" 2.03138009077036e-206 4.02705713752112e-204 5.62966430923776
"34" "YBR068C" 3.06972373195677e-189 5.90650960425329e-187 3.30802380905485
"35" "YPR006C" 2.09961471093192e-187 3.92447983969046e-185 4.07869674298916
"36" "YAL062W" 2.06407850910704e-184 3.75088933516062e-182 3.9027772376541
"37" "YBR230C" 2.55887886806859e-181 4.52437447429857e-179 3.48793327076555
"38" "YKL148C" 2.0383120911602e-180 3.5091151843079e-178 2.75698072358607
"39" "YPL054W" 1.17852145992153e-178 1.97689420277093e-176 4.48621477121931
"40" "YER015W" 1.11366637676212e-176 1.82140135919445e-174 4.28612548223492
"41" "YHL024W" 3.68011032005419e-173 5.87201993019379e-171 3.28123416128991
"42" "YMR081C" 1.99992466472163e-172 3.11512075157354e-170 4.53205911772949
"43" "YGR067C" 5.85241386049812e-169 8.90383522683226e-167 5.09566709860832
"44" "YLR312C" 1.45098832315816e-168 2.15735582047743e-166 5.49212174579859
"45" "YIL155C" 3.11085090557424e-167 4.5224859165037e-165 4.78004780331094
"46" "YBR046C" 5.68887237650969e-166 8.09056588850574e-164 3.72444353522278
"47" "YNL009W" 1.07853969323755e-164 1.50123546237448e-162 4.14540740346713
"48" "YKL187C" 1.45110891054258e-159 1.977740519327e-157 4.64996226379182
"49" "YCR010C" 1.19445955940817e-156 1.59472539543842e-154 6.95688657847383
"50" "YKL188C" 2.01886905239143e-155 2.64148826814894e-153 3.43275825221248
"51" "YFR052C-A" 6.84129809753255e-155 8.7756415988349e-153 5.28346366707549
"52" "YNL160W" 2.41193748362952e-154 3.03440288805852e-152 4.41124638414945
"53" "YPL147W" 6.38657348876431e-154 7.88320071009361e-152 4.03612057113944
"54" "YMR191W" 2.15966667726164e-153 2.61639618567512e-151 2.75386544258403
"55" "YLL041C" 3.78576579673176e-153 4.50299633494894e-151 2.54723249900842
"56" "YNL202W" 8.94815175151228e-148 1.0453358706856e-145 4.30928655945381
"57" "YEL060C" 9.59146450638389e-147 1.10083089124146e-144 2.39535692329063
"58" "YPR002W" 1.64121881646576e-142 1.8511816374688e-140 2.56402663541875
"59" "YFL026W" 7.7371187608988e-139 8.57902219216949e-137 -2.44019579269704
"60" "YJL116C" 3.44042447826314e-138 3.75120948946624e-136 4.31709974892697
"61" "YOL126C" 6.80079212730932e-138 7.29357083555042e-136 5.11559835088599
"62" "YMR303C" 1.45203274579586e-137 1.50868126215876e-135 3.98075948232064
"63" "YPR026W" 1.45287250865181e-137 1.50868126215876e-135 2.90842367153926
"64" "YBR298C" 7.80324226306401e-134 7.97637670077575e-132 2.76365902482735
"65" "YGR043C" 9.30005308944651e-132 9.36014574017832e-130 4.68014297659276
