"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1" "YIL057C" 0 0 10.0843765168381 2190.91005754538
"2" "YMR175W" 0 0 9.42586266273106 1877.0065878048
"3" "YJR095W" 0 0 9.41949856070147 2246.88957395981
"4" "YMR107W" 0 0 9.07330319545709 2627.49924529114
"5" "YKL217W" 0 0 8.57314200286907 1689.37796736621
"6" "YPL201C" 0 0 7.65397368657474 1950.77017104731
"7" "YGL205W" 0 0 7.06982285064893 2690.67098331287
"8" "YCR010C" 0 0 7.01252268533244 1809.30493008647
"9" "YAL054C" 0 0 6.89289999398954 2541.80914476535
"10" "YBR067C" 0 0 6.46774208096739 1657.273180613
"11" "YIL160C" 0 0 6.12595481507529 2223.69844433483
"12" "YDL085W" 0 0 5.68178485231731 2049.41125559283
"13" "YLR312C" 0 0 5.54134739736868 1536.75129462096
"14" "YLR174W" 0 0 5.45870900630147 1682.97495235834
"15" "YDR256C" 0 0 5.38290216566764 2305.29140199369
"16" "YKR009C" 0 0 5.33372796036687 2095.0304895297
"17" "YGR067C" 0 0 5.16030848766699 1538.92696744526
"18" "YKL187C" 0 0 4.72347547087905 1630.34173111713
"19" "YDR384C" 0 0 4.57957634236993 1897.02291807035
"20" "YPR001W" 0 0 4.55245101824083 1532.34208667934
"21" "YFL030W" 4.94065645841247e-324 1.54148481502469e-321 4.96058284378502 1481.91940906934
"22" "YOL126C" 8.25089628554882e-322 2.45352999724763e-319 5.19960665690635 1470.90033124559
"23" "YML042W" 3.11489863229318e-315 8.85985515322931e-313 5.17616990165904 1440.63041069999
"24" "YGL121C" 1.6877989822145e-313 4.60065872568656e-311 5.67706704776763 1432.65115935366
"25" "YAL062W" 4.45646183662038e-313 1.16616693340684e-310 3.9832412366418 1430.71065319445
"26" "YDR345C" 8.08532949030608e-313 2.0343932894455e-310 -3.92484570284019 1429.52009231829
"27" "YPL147W" 4.39146745365752e-312 1.06403629932695e-309 4.10930663098659 1426.13806308315
"28" "YGR289C" 3.63098378027709e-310 8.48353424663312e-308 4.18278410063991 1417.31424008153
"29" "YJL116C" 8.51046723271123e-307 1.91984402194472e-304 4.39000466891277 1401.80612973089
"30" "YIL136W" 2.35355539599013e-306 5.13231980018914e-304 5.05835664521011 1399.77314824294
"31" "YER015W" 1.81561871713233e-302 3.83154117660635e-300 4.36742883336191 1381.88431288089
"32" "YBR072W" 1.84320881274905e-299 3.76821001656385e-297 7.53657470795275 1368.04868699794
"33" "YPR006C" 1.66776188486745e-290 3.30621159115238e-288 4.16229268199355 1326.8327516427
"34" "YBR117C" 2.4760331645611e-287 4.76417910663492e-285 5.32390627814787 1312.23793464827
"35" "YGR243W" 3.87542827092602e-285 7.24372907097086e-283 5.12233549790879 1302.1393111338
"36" "YGR256W" 2.80390623144034e-284 5.09532071280075e-282 6.0089851444454 1298.18446340191
"37" "YOR348C" 2.05519890393237e-282 3.63381384581771e-280 5.15765936413012 1289.60202766128
