"" "gene.id" "p.value" "q.value" "log.fc" "test.stat....voomTTbl.t"
"1" "YAL054C" 3.50397754903562e-18 2.2923021125791e-14 6.82228825809178 67.8463825579939
"2" "YDR384C" 2.66540925525084e-17 7.1792728539618e-14 4.50945161074576 58.1518402125806
"3" "YDR345C" 4.38965017056668e-17 7.1792728539618e-14 -3.9913795492724 -55.9871264088082
"4" "YDR256C" 3.51453611572824e-17 7.1792728539618e-14 5.3109829847663 56.9418179351251
"5" "YKR009C" 8.9388405930604e-17 1.16955790319602e-13 5.26403197506644 53.0389061553042
"6" "YIL155C" 3.12750864130615e-16 2.92593944303482e-13 4.79843883714167 48.2161154929188
"7" "YIL136W" 3.13078203932188e-16 2.92593944303482e-13 4.99844269751842 48.2122744833437
"8" "YBR067C" 1.15162349380717e-15 8.66107089577929e-13 6.44194088451124 43.6572058780313
"9" "YKL187C" 1.34359377394122e-15 8.78979046912346e-13 4.64914754995448 43.1469904485653
"10" "YMR303C" 1.94541684031726e-15 1.15699245175959e-12 4.00644404174442 41.9460100102429
"11" "YKL217W" 1.19152610917171e-15 8.66107089577929e-13 8.5639929299326 43.543972930633
"12" "YLR174W" 2.13950466803724e-15 1.16638662819163e-12 5.39898484084896 41.6428008812535
"13" "YOL155C" 2.66129340856203e-15 1.29144000765027e-12 3.03757618159485 40.955119439972
"14" "YER015W" 3.59040621954112e-15 1.5658958325492e-12 4.30074755487908 40.0297029764539
"15" "YBR072W" 5.79686968136132e-15 2.37019509096661e-12 7.47064187868536 38.5919004055396
"16" "YGL205W" 2.7637053052742e-15 1.29144000765027e-12 7.00037155929312 40.8372762941116
"17" "YJL116C" 7.78179677732383e-15 2.99461850101485e-12 4.31575151438162 37.73343782132
"18" "YEL040W" 9.0473169224702e-15 3.11513406877895e-12 -3.54143274570394 -37.3014477753135
"19" "YGR289C" 8.955004875517e-15 3.11513406877895e-12 4.12839598764422 37.3306951570991
"20" "YPL147W" 1.06875258051423e-14 3.31287894790626e-12 4.03469027755381 36.8294486086709
"21" "YDL215C" 1.09671426566616e-14 3.31287894790626e-12 2.88148485753752 36.7568097563904
"22" "YFL030W" 1.11408341262515e-14 3.31287894790626e-12 4.92390359573989 36.712683780251
"23" "YMR191W" 1.29122085282176e-14 3.67268122572172e-12 2.77687286056858 36.3008476852039
"24" "YAL062W" 1.36547054517096e-14 3.72204512771183e-12 3.90894380723451 36.145985273197
"25" "YKL148C" 1.65705579186891e-14 4.2283463574526e-12 2.77864676161591 35.6148971852103
"26" "YPR006C" 1.74511390478784e-14 4.2283463574526e-12 4.09955856066999 35.4741211569598
"27" "YML042W" 1.72909219623621e-14 4.2283463574526e-12 5.10621819651057 35.4991580934849
"28" "YHL024W" 1.85212829202154e-14 4.32736545943033e-12 3.2913952224144 35.3129800905124
"29" "YHR096C" 2.14813315864941e-14 4.84589211168429e-12 6.68407209405147 34.9146634210095
"30" "YEL011W" 2.6832074260577e-14 5.8511809937565e-12 3.73647413825146 34.3253828169288
"31" "YDL223C" 3.01235829998749e-14 6.35704774145748e-12 3.65414373701071 34.0226740257024
